"id","activity_date","total_steps","total_active_minutes","total_minutes_asleep","sleep_efficiency"
"1503960366","2016-04-12",13162,366,327,"0.94509"
"1503960366","2016-04-13",10735,257,384,"0.94349"
"1503960366","2016-04-15",9762,272,412,"0.93213"
"1503960366","2016-04-16",12669,267,340,"0.92643"
"1503960366","2016-04-17",9705,222,700,"0.98315"
"1503960366","2016-04-19",15506,345,304,"0.95000"
"1503960366","2016-04-20",10544,245,360,"0.95491"
"1503960366","2016-04-21",9819,238,325,"0.89286"
"1503960366","2016-04-23",14371,324,361,"0.94010"
"1503960366","2016-04-24",10039,282,430,"0.95768"
"1503960366","2016-04-25",15355,303,277,"0.85759"
"1503960366","2016-04-26",13755,333,245,"0.89416"
"1503960366","2016-04-28",13154,265,366,"0.93130"
"1503960366","2016-04-29",11181,271,341,"0.96328"
"1503960366","2016-04-30",14673,303,404,"0.95059"
"1503960366","2016-05-01",10602,314,369,"0.93182"
"1503960366","2016-05-02",14727,333,277,"0.89644"
"1503960366","2016-05-03",15103,328,273,"0.92230"
"1503960366","2016-05-05",14070,319,247,"0.93561"
"1503960366","2016-05-06",12159,319,334,"0.91008"
"1503960366","2016-05-07",11992,258,331,"0.94842"
"1503960366","2016-05-08",10060,255,594,"0.97218"
"1503960366","2016-05-09",12022,263,338,"0.98830"
"1503960366","2016-05-10",12207,291,383,"0.95037"
"1503960366","2016-05-11",12770,310,285,"0.93137"
"1644430081","2016-04-29",3176,120,119,"0.93701"
"1644430081","2016-04-30",18213,482,124,"0.87324"
"1644430081","2016-05-02",3758,156,796,"0.82830"
"1644430081","2016-05-08",6724,295,137,"0.88961"
"1844505072","2016-04-15",3844,176,644,"0.67014"
"1844505072","2016-04-30",4014,184,722,"0.75130"
"1844505072","2016-05-01",2573,82,590,"0.61394"
"1927972279","2016-04-12",678,55,750,"0.96774"
"1927972279","2016-04-13",356,32,398,"0.94313"
"1927972279","2016-04-15",980,51,475,"0.95190"
"1927972279","2016-04-26",3761,192,296,"0.93968"
"1927972279","2016-04-28",1675,95,166,"0.93258"
"2026352035","2016-04-12",4414,192,503,"0.92125"
"2026352035","2016-04-13",4993,238,531,"0.93982"
"2026352035","2016-04-14",3335,197,545,"0.95951"
"2026352035","2016-04-15",3821,188,523,"0.91274"
"2026352035","2016-04-16",2547,150,524,"0.92416"
"2026352035","2016-04-17",838,60,437,"0.87751"
"2026352035","2016-04-19",2424,141,498,"0.92222"
"2026352035","2016-04-20",7222,327,461,"0.90392"
"2026352035","2016-04-21",2467,153,477,"0.92802"
"2026352035","2016-04-22",2915,162,520,"0.95413"
"2026352035","2016-04-23",12357,432,522,"0.94224"
"2026352035","2016-04-24",3490,164,555,"0.93909"
"2026352035","2016-04-25",6017,260,506,"0.95292"
"2026352035","2016-04-27",6088,286,508,"0.93211"
"2026352035","2016-04-28",6375,331,513,"0.94128"
"2026352035","2016-04-29",7604,352,490,"0.96078"
"2026352035","2016-04-30",4729,233,573,"0.94399"
"2026352035","2016-05-01",3609,191,527,"0.96520"
"2026352035","2016-05-02",7018,355,511,"0.94107"
"2026352035","2016-05-04",6564,345,538,"0.96071"
"2026352035","2016-05-05",12167,475,468,"0.96495"
"2026352035","2016-05-06",8198,383,524,"0.95620"
"2026352035","2016-05-07",4193,229,511,"0.98081"
"2026352035","2016-05-08",5528,258,541,"0.95246"
"2026352035","2016-05-09",10685,401,531,"0.95504"
"2026352035","2016-05-10",254,17,357,"0.93947"
"2026352035","2016-05-11",8580,330,523,"0.94575"
"2026352035","2016-05-12",8891,343,456,"0.94021"
"2320127002","2016-04-23",5079,242,61,"0.88406"
"2347167796","2016-04-13",10352,246,467,"0.87947"
"2347167796","2016-04-14",10129,255,445,"0.91002"
"2347167796","2016-04-15",10465,309,452,"0.89683"
"2347167796","2016-04-17",5472,257,556,"0.92359"
"2347167796","2016-04-18",8247,233,500,"0.89767"
"2347167796","2016-04-19",6711,389,465,"0.90467"
"2347167796","2016-04-21",10080,257,460,"0.95041"
"2347167796","2016-04-22",7804,242,405,"0.87852"
"2347167796","2016-04-23",16901,427,374,"0.96891"
"2347167796","2016-04-24",9471,360,442,"0.96296"
"2347167796","2016-04-25",9482,303,433,"0.91932"
"2347167796","2016-04-26",5980,227,436,"0.88980"
"2347167796","2016-04-27",11423,330,448,"0.89780"
"2347167796","2016-04-28",5439,229,408,"0.90667"
"2347167796","2016-04-29",42,4,411,"0.86892"
"3977333714","2016-04-12",8856,194,274,"0.58422"
"3977333714","2016-04-13",10035,230,295,"0.64693"
"3977333714","2016-04-14",7641,242,291,"0.73300"
"3977333714","2016-04-15",9010,240,424,"0.76259"
"3977333714","2016-04-16",13459,267,283,"0.55490"
"3977333714","2016-04-17",10415,274,381,"0.67314"
"3977333714","2016-04-18",11663,313,412,"0.78927"
"3977333714","2016-04-19",12414,307,219,"0.55443"
"3977333714","2016-04-20",11658,264,152,"0.49836"
"3977333714","2016-04-21",6093,242,332,"0.64844"
"3977333714","2016-04-22",8911,233,355,"0.74580"
"3977333714","2016-04-23",12058,344,235,"0.63172"
"3977333714","2016-04-24",14112,254,310,"0.58935"
"3977333714","2016-04-25",11177,192,262,"0.56103"
"3977333714","2016-04-26",11388,272,250,"0.67385"
"3977333714","2016-04-27",7193,186,349,"0.64630"
"3977333714","2016-04-28",7114,213,261,"0.61702"
"3977333714","2016-04-29",10645,218,333,"0.69665"
"3977333714","2016-04-30",13238,289,237,"0.62042"
"3977333714","2016-05-01",10414,205,383,"0.61182"
"3977333714","2016-05-02",16520,343,230,"0.59896"
"3977333714","2016-05-03",14335,346,292,"0.58400"
"3977333714","2016-05-04",13559,252,213,"0.63393"
"3977333714","2016-05-05",12312,280,318,"0.66250"
"3977333714","2016-05-06",11677,252,323,"0.63086"
"3977333714","2016-05-07",11550,294,237,"0.53499"
"3977333714","2016-05-08",13585,296,259,"0.56798"
"3977333714","2016-05-10",13072,312,312,"0.69027"
"4020332650","2016-04-12",8539,350,501,"0.92606"
"4020332650","2016-04-16",1982,141,77,"1.00000"
"4020332650","2016-05-03",4496,174,322,"0.96988"
"4020332650","2016-05-04",10252,405,478,"0.89179"
"4020332650","2016-05-05",11728,276,226,"0.91129"
"4020332650","2016-05-06",4369,177,385,"0.94363"
"4020332650","2016-05-08",5862,263,364,"0.90547"
"4020332650","2016-05-10",5546,206,442,"0.89474"
"4319703577","2016-04-14",10210,349,535,"0.96050"
"4319703577","2016-04-15",5664,228,465,"0.94705"
"4319703577","2016-04-16",4744,194,506,"0.96935"
"4319703577","2016-04-18",2276,68,515,"0.93466"
"4319703577","2016-04-19",8925,311,461,"0.92570"
"4319703577","2016-04-20",8954,324,523,"0.96317"
"4319703577","2016-04-21",3702,34,59,"0.90769"
"4319703577","2016-04-22",4500,196,533,"0.96909"
"4319703577","2016-04-23",4935,233,692,"0.95845"
"4319703577","2016-04-24",4081,197,467,"0.93214"
"4319703577","2016-04-25",9259,398,488,"0.96443"
"4319703577","2016-04-26",9899,317,505,"0.97868"
"4319703577","2016-04-27",10780,353,286,"0.93160"
"4319703577","2016-04-28",10817,380,497,"0.95211"
"4319703577","2016-04-29",7990,313,523,"0.95788"
"4319703577","2016-04-30",8221,240,490,"0.94961"
"4319703577","2016-05-01",1251,67,484,"0.96800"
"4319703577","2016-05-02",9261,355,478,"0.94466"
"4319703577","2016-05-03",9648,321,474,"0.92578"
"4319703577","2016-05-06",9524,331,450,"0.91650"
"4319703577","2016-05-07",7937,310,507,"0.95660"
"4319703577","2016-05-08",3672,153,602,"0.94357"
"4319703577","2016-05-09",10378,390,535,"0.94690"
"4319703577","2016-05-10",9487,344,487,"0.94197"
"4319703577","2016-05-11",9129,332,529,"0.94803"
"4319703577","2016-05-12",17,2,302,"0.94081"
"4388161847","2016-04-15",8758,299,499,"0.94867"
"4388161847","2016-04-16",6580,268,426,"0.95089"
"4388161847","2016-04-17",4660,201,619,"0.96568"
"4388161847","2016-04-18",11009,274,99,"0.95192"
"4388161847","2016-04-19",10181,285,329,"0.97337"
"4388161847","2016-04-20",10553,289,421,"0.93348"
"4388161847","2016-04-21",10055,291,442,"0.96507"
"4388161847","2016-04-22",12139,322,82,"0.96471"
"4388161847","2016-04-23",13236,278,478,"0.95409"
"4388161847","2016-04-24",10243,261,552,"0.92773"
"4388161847","2016-04-26",9461,261,319,"0.92197"
"4388161847","2016-04-27",11193,300,439,"0.87800"
"4388161847","2016-04-28",10074,262,428,"0.93450"
"4388161847","2016-04-30",12533,357,409,"0.95116"
"4388161847","2016-05-01",10255,268,547,"0.91625"
"4388161847","2016-05-02",10096,241,368,"0.97872"
"4388161847","2016-05-04",12375,307,390,"0.94203"
"4388161847","2016-05-05",9603,250,471,"0.95152"
"4388161847","2016-05-05",9603,250,471,"0.95152"
"4388161847","2016-05-07",22770,436,472,"0.95161"
"4388161847","2016-05-08",17298,323,529,"0.97782"
"4388161847","2016-05-09",10218,283,62,"0.95385"
"4388161847","2016-05-10",10299,294,354,"0.94400"
"4388161847","2016-05-11",10201,282,469,"0.94939"
"4445114986","2016-04-12",3276,196,429,"0.93873"
"4445114986","2016-04-13",2961,194,370,"0.91133"
"4445114986","2016-04-14",3974,231,441,"0.89634"
"4445114986","2016-04-15",7198,350,337,"0.88918"
"4445114986","2016-04-16",3945,225,462,"0.92585"
"4445114986","2016-04-17",2268,114,98,"0.91589"
"4445114986","2016-04-19",2064,121,388,"0.91509"
"4445114986","2016-04-20",2072,137,439,"0.95022"
"4445114986","2016-04-21",3809,215,436,"0.92964"
"4445114986","2016-04-22",6831,317,388,"0.93046"
"4445114986","2016-04-25",3385,179,328,"0.95072"
"4445114986","2016-04-26",6326,210,353,"0.90281"
"4445114986","2016-04-27",7243,227,332,"0.88770"
"4445114986","2016-04-28",4493,236,419,"0.94796"
"4445114986","2016-04-29",4676,226,106,"0.98148"
"4445114986","2016-04-30",6222,290,322,"0.91218"
"4445114986","2016-05-01",5232,240,439,"0.95643"
"4445114986","2016-05-02",6910,231,502,"0.92620"
"4445114986","2016-05-03",7502,265,417,"0.92667"
"4445114986","2016-05-04",2923,180,337,"0.92837"
"4445114986","2016-05-05",3800,193,462,"0.90058"
"4445114986","2016-05-06",4514,229,374,"0.93035"
"4445114986","2016-05-07",5183,138,401,"0.91972"
"4445114986","2016-05-08",7303,316,361,"0.92327"
"4445114986","2016-05-09",5275,266,457,"0.85741"
"4445114986","2016-05-10",3915,231,405,"0.95070"
"4445114986","2016-05-11",9105,288,499,"0.94151"
"4445114986","2016-05-12",768,58,483,"0.96407"
"4558609924","2016-04-21",13743,459,126,"0.91971"
"4558609924","2016-04-26",9148,336,103,"0.85124"
"4558609924","2016-04-29",7833,241,171,"0.95531"
"4558609924","2016-05-01",3428,190,115,"0.89147"
"4558609924","2016-05-08",6543,339,123,"0.91791"
"4702921684","2016-04-12",7213,263,425,"0.96811"
"4702921684","2016-04-13",6877,258,400,"0.93023"
"4702921684","2016-04-14",7860,271,384,"0.92530"
"4702921684","2016-04-15",6506,265,253,"0.98444"
"4702921684","2016-04-16",11140,362,382,"0.94089"
"4702921684","2016-04-17",12692,380,591,"0.96569"
"4702921684","2016-04-18",9105,243,293,"0.93910"
"4702921684","2016-04-19",6708,197,457,"0.93840"
"4702921684","2016-04-20",8793,291,454,"0.97009"
"4702921684","2016-04-21",6530,189,425,"0.97926"
"4702921684","2016-04-23",15126,483,465,"0.97895"
"4702921684","2016-04-24",15050,391,480,"0.94862"
"4702921684","2016-04-25",9167,291,370,"0.97368"
"4702921684","2016-04-26",6108,225,421,"0.98135"
"4702921684","2016-04-27",7047,255,432,"0.96214"
"4702921684","2016-04-28",9023,255,442,"0.95879"
"4702921684","2016-04-29",9930,298,433,"0.96868"
"4702921684","2016-04-30",10144,303,479,"0.95609"
"4702921684","2016-05-03",9454,313,327,"0.87668"
"4702921684","2016-05-04",8161,270,412,"0.94931"
"4702921684","2016-05-05",8614,254,414,"0.96729"
"4702921684","2016-05-06",6943,224,404,"0.89978"
"4702921684","2016-05-07",14370,490,520,"0.95764"
"4702921684","2016-05-07",14370,490,520,"0.95764"
"4702921684","2016-05-09",8232,265,435,"0.94978"
"4702921684","2016-05-10",10613,300,416,"0.96520"
"4702921684","2016-05-11",9810,286,354,"0.96721"
"4702921684","2016-05-12",2752,68,404,"0.91403"
"5553957443","2016-04-12",11596,309,441,"0.95043"
"5553957443","2016-04-13",4832,226,455,"0.93238"
"5553957443","2016-04-14",17022,358,357,"0.85407"
"5553957443","2016-04-15",16556,335,377,"0.92176"
"5553957443","2016-04-16",5771,288,651,"0.94898"
"5553957443","2016-04-17",655,46,350,"0.87065"
"5553957443","2016-04-18",3727,206,520,"0.96118"
"5553957443","2016-04-19",15482,346,357,"0.87073"
"5553957443","2016-04-20",2713,148,658,"0.97050"
"5553957443","2016-04-21",12346,266,399,"0.92575"
"5553957443","2016-04-22",11682,311,322,"0.91218"
"5553957443","2016-04-23",4112,272,631,"0.87034"
"5553957443","2016-04-24",1807,104,553,"0.86406"
"5553957443","2016-04-25",10946,263,433,"0.92521"
"5553957443","2016-04-26",11886,296,412,"0.90949"
"5553957443","2016-04-27",10538,238,347,"0.88747"
"5553957443","2016-04-28",11393,227,421,"0.92123"
"5553957443","2016-04-29",12764,331,450,"0.90909"
"5553957443","2016-04-30",1202,84,775,"0.91934"
"5553957443","2016-05-01",5164,237,622,"0.90671"
"5553957443","2016-05-02",9769,259,409,"0.86837"
"5553957443","2016-05-03",12848,302,380,"0.88578"
"5553957443","2016-05-04",4249,224,447,"0.95106"
"5553957443","2016-05-05",14331,314,419,"0.90302"
"5553957443","2016-05-06",9632,259,400,"0.92166"
"5553957443","2016-05-07",1868,96,442,"0.94043"
"5553957443","2016-05-08",6083,221,568,"0.93421"
"5553957443","2016-05-09",11611,332,453,"0.91700"
"5553957443","2016-05-10",16358,366,418,"0.94357"
"5553957443","2016-05-11",4926,195,463,"0.95267"
"5553957443","2016-05-12",3121,62,438,"0.92211"
"5577150313","2016-04-12",8135,242,419,"0.95662"
"5577150313","2016-04-13",5077,170,432,"0.94323"
"5577150313","2016-04-14",8596,324,477,"0.95976"
"5577150313","2016-04-15",12087,368,392,"0.94915"
"5577150313","2016-04-16",14269,398,406,"0.91236"
"5577150313","2016-04-17",12231,396,549,"0.94168"
"5577150313","2016-04-18",9893,276,527,"0.95298"
"5577150313","2016-04-19",12574,242,449,"0.96559"
"5577150313","2016-04-20",8330,216,447,"0.93125"
"5577150313","2016-04-21",10830,359,414,"0.94737"
"5577150313","2016-04-22",9172,292,338,"0.92350"
"5577150313","2016-04-23",7638,271,384,"0.95522"
"5577150313","2016-04-24",15764,416,543,"0.88293"
"5577150313","2016-04-25",6393,313,421,"0.91323"
"5577150313","2016-04-26",5325,251,354,"0.93899"
"5577150313","2016-04-27",6805,269,424,"0.93805"
"5577150313","2016-04-28",9841,291,361,"0.97043"
"5577150313","2016-04-29",7924,298,459,"0.94639"
"5577150313","2016-04-30",12363,415,412,"0.95150"
"5577150313","2016-05-01",13368,444,379,"0.95226"
"5577150313","2016-05-02",7439,292,525,"0.94937"
"5577150313","2016-05-03",11045,317,508,"0.93554"
"5577150313","2016-05-04",5206,175,603,"0.95110"
"5577150313","2016-05-05",7550,209,74,"0.94872"
"5577150313","2016-05-10",8869,335,504,"0.89680"
"5577150313","2016-05-11",4038,123,431,"0.90546"
"6117666160","2016-04-16",14450,540,380,"0.95477"
"6117666160","2016-04-17",7150,312,336,"0.96000"
"6117666160","2016-04-18",5153,241,493,"0.96667"
"6117666160","2016-04-19",11135,480,465,"0.94512"
"6117666160","2016-04-20",10449,385,474,"0.94422"
"6117666160","2016-04-21",19542,324,508,"0.92364"
"6117666160","2016-04-22",8206,402,480,"0.87912"
"6117666160","2016-04-23",11495,512,492,"0.91280"
"6117666160","2016-04-24",7623,362,353,"0.96185"
"6117666160","2016-04-27",9411,458,542,"0.97307"
"6117666160","2016-04-28",3403,141,393,"0.94471"
"6117666160","2016-04-29",9592,461,600,"0.94340"
"6117666160","2016-05-01",8915,397,507,"0.88174"
"6117666160","2016-05-05",9799,487,392,"0.94458"
"6117666160","2016-05-06",3365,133,658,"0.94269"
"6117666160","2016-05-07",7336,412,498,"0.98225"
"6117666160","2016-05-08",7328,318,555,"0.92040"
"6117666160","2016-05-09",4477,197,492,"0.94253"
"6775888955","2016-04-13",4053,120,235,"0.90385"
"6775888955","2016-04-14",5162,143,423,"0.95918"
"6775888955","2016-04-15",1282,58,391,"0.96305"
"6962181067","2016-04-12",10199,253,366,"0.94574"
"6962181067","2016-04-13",5652,174,630,"0.92784"
"6962181067","2016-04-14",1551,86,508,"0.94953"
"6962181067","2016-04-15",5563,217,370,"0.95855"
"6962181067","2016-04-16",13217,333,357,"0.97541"
"6962181067","2016-04-17",10145,313,427,"0.95740"
"6962181067","2016-04-18",11404,293,442,"0.96507"
"6962181067","2016-04-19",10742,271,476,"0.88972"
"6962181067","2016-04-20",13928,349,418,"0.98585"
"6962181067","2016-04-21",11835,294,451,"0.98687"
"6962181067","2016-04-22",10725,303,425,"0.97701"
"6962181067","2016-04-23",20031,446,528,"0.96703"
"6962181067","2016-04-24",5029,199,511,"0.99416"
"6962181067","2016-04-25",13239,348,400,"0.96386"
"6962181067","2016-04-26",10433,297,441,"0.98879"
"6962181067","2016-04-27",10320,324,455,"0.97430"
"6962181067","2016-04-28",12627,334,440,"0.97130"
"6962181067","2016-04-29",10762,396,433,"0.96868"
"6962181067","2016-04-30",10081,285,422,"0.99528"
"6962181067","2016-05-01",5454,215,411,"0.96479"
"6962181067","2016-05-02",12912,370,466,"0.96680"
"6962181067","2016-05-03",12109,324,394,"0.94258"
"6962181067","2016-05-04",10147,335,442,"0.97143"
"6962181067","2016-05-05",10524,341,467,"0.95112"
"6962181067","2016-05-06",5908,299,443,"0.95887"
"6962181067","2016-05-07",6815,328,298,"0.89222"
"6962181067","2016-05-08",4188,165,541,"0.95079"
"6962181067","2016-05-09",12342,295,489,"0.98390"
"6962181067","2016-05-10",15448,371,469,"0.97505"
"6962181067","2016-05-11",6722,230,452,"0.94167"
"6962181067","2016-05-12",3587,113,516,"0.96449"
"7007744171","2016-04-16",4631,203,79,"0.96341"
"7007744171","2016-05-01",5600,237,58,"0.95082"
"7086361926","2016-04-12",11317,218,514,"0.97905"
"7086361926","2016-04-13",5813,212,451,"0.96989"
"7086361926","2016-04-14",9123,256,472,"0.99160"
"7086361926","2016-04-15",8585,190,377,"0.97668"
"7086361926","2016-04-19",10688,260,472,"0.97723"
"7086361926","2016-04-20",14365,245,492,"0.98008"
"7086361926","2016-04-21",9469,231,390,"0.94891"
"7086361926","2016-04-22",9753,270,428,"0.95536"
"7086361926","2016-04-24",3520,125,681,"0.96733"
"7086361926","2016-04-25",10091,237,446,"0.99776"
"7086361926","2016-04-26",10387,235,485,"0.97000"
"7086361926","2016-04-27",11107,206,469,"0.97912"
"7086361926","2016-04-28",11584,263,354,"0.96458"
"7086361926","2016-04-30",14560,367,485,"0.99182"
"7086361926","2016-05-01",12390,303,388,"0.95332"
"7086361926","2016-05-02",10052,231,440,"0.95861"
"7086361926","2016-05-03",10288,245,456,"0.98915"
"7086361926","2016-05-04",10988,192,420,"0.96330"
"7086361926","2016-05-06",12461,273,322,"0.96697"
"7086361926","2016-05-07",12827,271,530,"0.96715"
"7086361926","2016-05-08",10677,206,481,"0.94314"
"7086361926","2016-05-09",13566,288,427,"0.97489"
"7086361926","2016-05-11",9572,225,451,"0.97408"
"7086361926","2016-05-12",3789,67,444,"0.97155"
"8053475328","2016-04-20",15108,252,486,"0.98580"
"8053475328","2016-04-23",22359,362,331,"0.98220"
"8053475328","2016-05-07",19769,289,74,"0.98667"
"8378563200","2016-04-12",7626,236,338,"0.94944"
"8378563200","2016-04-13",12386,299,447,"0.91786"
"8378563200","2016-04-14",13318,318,424,"0.93187"
"8378563200","2016-04-15",14461,273,513,"0.96248"
"8378563200","2016-04-16",11207,227,611,"0.88679"
"8378563200","2016-04-17",2132,93,525,"0.88832"
"8378563200","2016-04-18",13630,301,398,"0.88248"
"8378563200","2016-04-19",13070,293,387,"0.91924"
"8378563200","2016-04-20",9388,259,381,"0.93154"
"8378563200","2016-04-21",15148,298,396,"0.94964"
"8378563200","2016-04-22",12200,284,441,"0.94030"
"8378563200","2016-04-23",5709,165,565,"0.95601"
"8378563200","2016-04-24",3703,135,458,"0.93089"
"8378563200","2016-04-25",12405,274,388,"0.96517"
"8378563200","2016-04-25",12405,274,388,"0.96517"
"8378563200","2016-04-26",16208,269,550,"0.94178"
"8378563200","2016-04-27",7359,200,531,"0.88500"
"8378563200","2016-04-28",5417,160,506,"0.91007"
"8378563200","2016-04-29",6175,182,527,"0.93772"
"8378563200","2016-04-30",2946,121,468,"0.84324"
"8378563200","2016-05-01",11419,208,475,"0.88126"
"8378563200","2016-05-02",6064,209,351,"0.91169"
"8378563200","2016-05-03",8712,286,405,"0.94406"
"8378563200","2016-05-04",7875,196,441,"0.92453"
"8378563200","2016-05-05",8567,283,381,"0.91367"
"8378563200","2016-05-06",7045,245,323,"0.90986"
"8378563200","2016-05-07",4468,158,459,"0.89474"
"8378563200","2016-05-08",2943,139,545,"0.89934"
"8378563200","2016-05-09",8382,255,359,"0.89975"
"8378563200","2016-05-10",6582,228,342,"0.87468"
"8378563200","2016-05-11",9143,266,368,"0.95090"
"8378563200","2016-05-12",4561,116,496,"0.90842"
"8792009665","2016-04-12",2564,116,458,"0.92901"
"8792009665","2016-04-13",1320,82,531,"0.96196"
"8792009665","2016-04-14",1219,84,486,"0.96620"
"8792009665","2016-04-15",2483,126,363,"0.96286"
"8792009665","2016-04-20",3147,149,528,"0.96527"
"8792009665","2016-04-22",4068,216,391,"0.96069"
"8792009665","2016-04-23",5245,285,339,"0.94167"
"8792009665","2016-04-27",1758,112,423,"0.98832"
"8792009665","2016-04-28",6157,310,402,"0.96635"
"8792009665","2016-04-29",8360,400,398,"0.98030"
"8792009665","2016-04-30",7174,331,343,"0.95278"
"8792009665","2016-05-01",1619,79,503,"0.95446"
"8792009665","2016-05-02",1831,101,415,"0.98109"
"8792009665","2016-05-03",2421,156,516,"0.94679"
"8792009665","2016-05-04",2283,129,439,"0.94816"
